unix	долото
1700063558	3613.28
1700063560	3613.28
1700063562	3613.28
1700063564	3613.28
1700063566	3613.28
1700063568	3613.28
1700063570	3613.28
1700063572	3613.28
1700063574	3613.28
1700063576	3613.28
1700063578	3613.28
1700063580	3613.28
1700063582	3613.28
1700063584	3613.28
1700063586	3613.28
1700063588	3613.28
1700063590	3613.28
1700063592	3613.28
1700063594	3613.28
1700063596	3613.28
1700063598	3613.28
1700063600	3613.28
1700063602	3613.28
1700063604	3613.28
1700063606	3613.28
1700063608	3613.28
1700063610	3613.28
1700063612	3613.28
1700063614	3613.28
1700063616	3613.28
1700063618	3613.28
1700063620	3613.28
1700063622	3613.28
1700063624	3613.28
1700063626	3613.28
1700063628	3613.28
1700063630	3613.28
1700063632	3613.28
1700063634	3613.28
1700063636	3613.28
1700063638	3613.28
1700063640	3613.28
1700063642	3613.28
1700063644	3613.28
1700063646	3613.28
1700063648	3613.28
1700063650	3613.28
1700063652	3613.28
1700063654	3613.28
1700063656	3613.28
1700063658	3613.28
1700063660	3613.28
1700063662	3613.28
1700063664	3613.28
1700063666	3613.28
1700063668	3613.28
1700063670	3613.28
1700063672	3613.28
1700063674	3613.28
1700063676	3613.28
1700063678	3613.28
1700063680	3613.28
1700063682	3613.28
1700063684	3613.28
1700063686	3613.28
1700063688	3613.28
1700063690	3613.28
1700063692	3613.28
1700063694	3613.28
1700063696	3613.28
1700063698	3613.28
1700063700	3613.73
1700063702	3613.64
1700063704	3613.55
1700063706	3613.47
1700063708	3613.38
1700063710	3613.29
1700063712	3613.20
1700063714	3613.11
1700063716	3613.03
1700063718	3612.94
1700063720	3612.85
1700063722	3612.76
1700063724	3612.67
1700063726	3612.58
1700063728	3612.49
1700063730	3612.41
1700063732	3612.32
1700063734	3612.23
1700063736	3612.14
1700063738	3612.05
1700063740	3611.96
1700063742	3611.87
1700063744	3611.78
1700063746	3611.69
1700063748	3611.60
1700063750	3611.51
1700063752	3611.43
1700063754	3611.36
1700063756	3611.30
1700063758	3611.24
1700063760	3611.19
1700063762	3611.14
1700063764	3611.08
1700063766	3611.03
1700063768	3610.98
1700063770	3610.93
1700063772	3610.88
1700063774	3610.82
1700063776	3610.77
1700063778	3610.72
1700063780	3610.66
1700063782	3610.61
1700063784	3610.56
1700063786	3610.50
1700063788	3610.45
1700063790	3610.40
1700063792	3610.34
1700063794	3610.29
1700063796	3610.24
1700063798	3610.19
1700063800	3610.13
1700063802	3610.08
1700063804	3610.03
1700063806	3609.97
1700063808	3609.92
1700063810	3609.87
1700063812	3609.81
1700063814	3609.76
1700063816	3609.71
1700063818	3609.66
1700063820	3609.60
1700063822	3609.55
1700063824	3609.49
1700063826	3609.44
1700063828	3609.39
1700063830	3609.33
1700063832	3609.28
1700063834	3609.23
1700063836	3609.18
1700063838	3609.12
1700063840	3609.07
1700063842	3609.01
1700063844	3608.96
1700063846	3608.91
1700063848	3608.85
1700063850	3608.80
1700063852	3608.75
1700063854	3608.69
1700063856	3608.64
1700063858	3608.58
1700063860	3608.53
1700063862	3608.48
1700063864	3608.42
1700063866	3608.37
1700063868	3608.32
1700063870	3608.26
1700063872	3608.21
1700063874	3608.15
1700063876	3608.10
1700063878	3608.04
1700063880	3607.99
1700063882	3607.94
1700063884	3607.88
1700063886	3607.83
1700063888	3607.77
1700063890	3607.72
1700063892	3607.67
1700063894	3607.61
1700063896	3607.56
1700063898	3607.50
1700063900	3607.45
1700063902	3607.39
1700063904	3607.34
1700063906	3607.28
1700063908	3607.23
1700063910	3607.17
1700063912	3607.12
1700063914	3607.07
1700063916	3607.01
1700063918	3606.96
1700063920	3606.90
1700063922	3606.85
1700063924	3606.79
1700063926	3606.74
1700063928	3606.68
1700063930	3606.63
1700063932	3606.57
1700063934	3606.52
1700063936	3606.46
1700063938	3606.41
1700063940	3606.36
1700063942	3606.30
1700063944	3606.25
1700063946	3606.19
1700063948	3606.14
1700063950	3606.08
1700063952	3606.02
1700063954	3605.97
1700063956	3605.91
1700063958	3605.86
1700063960	3605.80
1700063962	3605.75
1700063964	3605.69
1700063966	3605.64
1700063968	3605.58
1700063970	3605.53
1700063972	3605.47
1700063974	3605.42
1700063976	3605.36
1700063978	3605.31
1700063980	3605.25
1700063982	3605.20
1700063984	3605.14
1700063986	3605.09
1700063988	3605.03
1700063990	3604.97
1700063992	3604.92
1700063994	3604.87
1700063996	3604.81
1700063998	3604.75
1700064000	3604.70
1700064002	3604.64
1700064004	3604.59
1700064006	3604.53
1700064008	3604.48
1700064010	3604.42
1700064012	3604.36
1700064014	3604.31
1700064016	3604.25
1700064018	3604.20
1700064020	3604.14
1700064022	3604.09
1700064024	3604.03
1700064026	3603.97
1700064028	3603.92
1700064030	3603.86
1700064032	3603.81
1700064034	3603.75
1700064036	3603.69
1700064038	3603.64
1700064040	3603.58
1700064042	3603.53
1700064044	3603.47
1700064046	3603.41
1700064048	3603.36
1700064050	3603.30
1700064052	3603.24
1700064054	3603.19
1700064056	3603.13
1700064058	3603.08
1700064060	3603.02
1700064062	3602.96
1700064064	3602.91
1700064066	3602.85
1700064068	3602.79
1700064070	3602.74
1700064072	3602.68
1700064074	3602.63
1700064076	3602.57
1700064078	3602.51
1700064080	3602.46
1700064082	3602.41
1700064084	3602.35
1700064086	3602.30
1700064088	3602.24
1700064090	3602.19
1700064092	3602.14
1700064094	3602.08
1700064096	3602.03
1700064098	3601.97
1700064100	3601.92
1700064102	3601.87
1700064104	3601.81
1700064106	3601.76
1700064108	3601.70
1700064110	3601.65
1700064112	3601.59
1700064114	3601.54
1700064116	3601.49
1700064118	3601.43
1700064120	3601.38
1700064122	3601.32
1700064124	3601.27
1700064126	3601.21
1700064128	3601.16
1700064130	3601.10
1700064132	3601.05
1700064134	3600.99
1700064136	3600.94
1700064138	3600.88
1700064140	3600.83
1700064142	3600.77
1700064144	3600.72
1700064146	3600.66
1700064148	3600.61
1700064150	3600.55
1700064152	3600.50
1700064154	3600.44
1700064156	3600.39
1700064158	3600.33
1700064160	3600.28
1700064162	3600.22
1700064164	3600.17
1700064166	3600.12
1700064168	3600.06
1700064170	3600.01
1700064172	3599.95
1700064174	3599.89
1700064176	3599.84
1700064178	3599.78
1700064180	3599.73
1700064182	3599.67
1700064184	3599.62
1700064186	3599.56
1700064188	3599.51
1700064190	3599.45
1700064192	3599.40
1700064194	3599.34
1700064196	3599.28
1700064198	3599.23
1700064200	3599.18
1700064202	3599.12
1700064204	3599.06
1700064206	3599.01
1700064208	3598.95
1700064210	3598.90
1700064212	3598.84
1700064214	3598.78
1700064216	3598.73
1700064218	3598.68
1700064220	3598.62
1700064222	3598.56
1700064224	3598.51
1700064226	3598.45
1700064228	3598.39
1700064230	3598.34
1700064232	3598.28
1700064234	3598.23
1700064236	3598.17
1700064238	3598.12
1700064240	3598.06
1700064242	3598.00
1700064244	3597.95
1700064246	3597.89
1700064248	3597.84
1700064250	3597.78
1700064252	3597.72
1700064254	3597.67
1700064256	3597.61
1700064258	3597.56
1700064260	3597.50
1700064262	3597.44
1700064264	3597.39
1700064266	3597.33
1700064268	3597.27
1700064270	3597.22
1700064272	3597.16
1700064274	3597.10
1700064276	3597.05
1700064278	3596.99
1700064280	3596.93
1700064282	3596.88
1700064284	3596.82
1700064286	3596.76
1700064288	3596.71
1700064290	3596.65
1700064292	3596.60
1700064294	3596.54
1700064296	3596.48
1700064298	3596.42
1700064300	3596.37
1700064302	3596.31
1700064304	3596.25
1700064306	3596.20
1700064308	3596.14
1700064310	3596.08
1700064312	3596.02
1700064314	3595.97
1700064316	3595.91
1700064318	3595.85
1700064320	3595.80
1700064322	3595.74
1700064324	3595.68
1700064326	3595.63
1700064328	3595.57
1700064330	3595.51
1700064332	3595.45
1700064334	3595.40
1700064336	3595.34
1700064338	3595.28
1700064340	3595.22
1700064342	3595.17
1700064344	3595.11
1700064346	3595.05
1700064348	3594.99
1700064350	3594.94
1700064352	3594.88
1700064354	3594.82
1700064356	3594.76
1700064358	3594.71
1700064360	3594.65
1700064362	3594.59
1700064364	3594.53
1700064366	3594.48
